Date,Open,High,Low,Close,Adj Close,Volume
8/22/2017,31.081594,31.518026,31.024668,31.451612,26.623737,14178619
8/23/2017,31.375711,31.679317,31.375711,31.537003,26.696016,16989953
8/24/2017,31.660341,31.688805,31.470589,31.527514,26.687986,12140394
8/25/2017,31.574953,31.897533,31.527514,31.679317,26.816488,15171171
8/28/2017,31.783682,31.897533,31.698292,31.755219,26.880743,13033026
8/29/2017,31.717268,31.83112,31.537003,31.783682,26.904831,12884096
8/30/2017,31.764706,31.764706,31.54649,31.736242,26.864674,12394935
8/31/2017,31.783682,32.277039,31.764706,32.182163,27.242147,27300497
9/1/2017,32.201138,32.381405,32.087288,32.220116,27.274273,19160771
9/5/2017,32.144215,32.419353,32.020874,32.06831,27.145771,15068616
9/6/2017,32.210625,32.362431,32.172676,32.248577,27.298367,13925764
9/7/2017,32.296017,32.381405,32.077801,32.248577,27.298367,18831923
9/8/2017,32.210625,32.495255,32.06831,32.35294,27.386707,16276290
9/11/2017,32.343452,32.580647,32.23909,32.561668,27.5634,17263993
9/12/2017,32.618595,33.918407,32.599621,33.557877,28.406685,39268351
9/13/2017,33.45351,33.614799,33.178368,33.263756,28.157713,22115450
9/14/2017,33.254269,34.003796,33.206833,33.899429,28.695814,28907847
9/15/2017,33.776093,33.889942,33.434536,33.548386,28.398647,30430139
9/18/2017,33.567364,33.728653,33.406071,33.728653,28.55125,17850755
9/19/2017,33.833015,33.833015,33.538898,33.633778,28.470938,16539579
9/20/2017,34.089184,34.354839,33.97533,34.146111,28.904625,27066825
9/21/2017,34.212524,34.335861,34.07021,34.127136,28.888559,16580579
9/22/2017,34.250473,34.269451,33.937382,34.117645,28.880526,15394092
9/25/2017,34.060722,34.184059,33.624287,33.690701,28.519121,23379828
9/26/2017,33.690701,33.823528,33.434536,33.491463,28.350468,18508029
9/27/2017,33.444023,33.709679,33.387096,33.633778,28.470938,15502759
9/28/2017,33.462997,33.946869,33.415562,33.776093,28.591408,19038086
9/29/2017,33.814041,33.870968,33.538898,33.870968,28.671719,16867900
10/2/2017,33.842506,34.250473,33.671726,34.222012,28.968868,17541300
10/3/2017,34.174572,34.345352,33.918407,34.288425,29.025091,14328392
10/4/2017,34.326378,34.383301,34.060722,34.117645,28.880526,11435268
10/5/2017,34.041744,34.155598,33.918407,34.155598,28.912657,14340408
10/6/2017,34.146111,34.288425,34.098671,34.203037,28.952812,12711345
10/9/2017,34.212524,34.297913,34.089184,34.288425,29.025091,10278081
10/10/2017,34.516129,34.639469,34.184059,34.535103,29.233908,18697433
10/11/2017,34.506641,34.611008,34.345352,34.582542,29.274065,18163687
10/12/2017,34.611008,34.724857,34.421253,34.487667,29.193747,14750098
10/13/2017,34.506641,34.620495,34.392788,34.478176,29.185717,13458842
10/16/2017,34.487667,34.611008,34.041744,34.136623,28.896591,14315006
10/17/2017,34.089184,34.468693,33.918407,34.345352,29.07328,14776764
10/18/2017,34.392788,34.43074,33.956356,33.994308,28.776123,15196572
